32-5013	A11670	19	000262.770	02/23/2024
32-5018	A51248	19	000224.96-	02/23/2024
32-5019	A52131	19	000224.960	02/23/2024
32-5017	A52841	19	000700.720	02/23/2024
32-5020	A46378	19	000087.590	02/23/2024
32-5017	A52841	19	000154.440	02/23/2024
32-5021	A50707	19	000262.770	02/23/2024
32-5021	A50707	19	000355.100	02/23/2024
32-5017	A52841	19	000142.040	02/23/2024
32-5022	A57365	19	000106.530	02/23/2024
32-5017	A52841	19	001349.760	02/23/2024
32-5016	A02680	19	000142.040	02/23/2024
32-5022	A57365	19	000617.760	02/23/2024
32-5022	A57365	19	000788.310	02/23/2024
32-5015	A15349	19	000437.950	02/23/2024
32-5023	A45269	19	000262.770	02/23/2024
32-5018	A51248	19	000224.960	02/23/2024
32-5021	A50707	20	000155.810	02/23/2024
32-5021	A50707	20	000115.300	02/23/2024
32-5022	A57365	20	000271.060	02/23/2024
32-5020	A46378	20	000038.430	02/23/2024
32-5019	A52131	20	000098.710	02/23/2024
32-5022	A57365	20	000345.890	02/23/2024
32-5023	A45269	20	000115.300	02/23/2024
32-5018	A51248	20	000098.710	02/23/2024
32-5022	A57365	20	000046.740	02/23/2024
32-5018	A51248	20	000098.71-	02/23/2024
32-5017	A52841	20	000067.770	02/23/2024
32-5017	A52841	20	000062.320	02/23/2024
32-5013	A11670	20	000115.300	02/23/2024
32-5017	A52841	20	000592.250	02/23/2024
32-5016	A02680	20	000062.320	02/23/2024
32-5017	A52841	20	000307.460	02/23/2024
32-5015	A15349	20	000192.160	02/23/2024
32-5017	A52841	21	000016.800	02/23/2024
32-5021	A50707	21	000012.600	02/23/2024
32-5017	A52841	21	000100.800	02/23/2024
32-5015	A15349	21	000021.000	02/23/2024
32-5020	A46378	21	000004.200	02/23/2024
32-5022	A57365	21	000012.600	02/23/2024
32-5019	A52131	21	000016.800	02/23/2024
32-5016	A02680	21	000016.800	02/23/2024
32-5022	A57365	21	000067.200	02/23/2024
32-5022	A57365	21	000037.800	02/23/2024
32-5018	A51248	21	000016.80-	02/23/2024
32-5023	A45269	21	000012.600	02/23/2024
32-5017	A52841	21	000033.600	02/23/2024
32-5013	A11670	21	000012.600	02/23/2024
32-5018	A51248	21	000016.800	02/23/2024
32-5017	A52841	21	000016.800	02/23/2024
32-5021	A50707	21	000042.000	02/23/2024
32-5017	A52841	44	000008.000	02/23/2024
32-5013	A11670	44	000006.000	02/23/2024
32-5022	A57365	44	000018.000	02/23/2024
32-5022	A57365	44	000032.000	02/23/2024
32-5015	A15349	44	000010.000	02/23/2024
32-5021	A50707	44	000006.000	02/23/2024
32-5021	A50707	44	000020.000	02/23/2024
32-5016	A02680	44	000008.000	02/23/2024
32-5017	A52841	44	000048.000	02/23/2024
32-5020	A46378	44	000002.000	02/23/2024
32-5019	A52131	44	000008.000	02/23/2024
32-5017	A52841	44	000008.000	02/23/2024
32-5018	A51248	44	000008.00-	02/23/2024
32-5018	A51248	44	000008.000	02/23/2024
32-5017	A52841	44	000016.000	02/23/2024
32-5022	A57365	44	000006.000	02/23/2024
32-5023	A45269	44	000006.000	02/23/2024
